Car#,Time,Speed (m/s),Latitude,Longitude
Car1,1145,36,39.17199,-77.36258
Car2,1145,30.9,39.20846,-77.26706
Car3,1145,43.7,39.27873,-76.90755
Car1,1150,36,39.1712,-77.36075
Car2,1150,30.9,39.20823,-77.26529
Car3,1150,43.7,39.27737,-76.90939
Car1,1155,36,39.17042,-77.35892
Car2,1155,30.9,39.208,-77.26352
Car3,1155,43.7,39.27602,-76.91122
Car1,1160,36,39.16964,-77.35709
Car2,1160,30.9,39.20777,-77.26176
Car3,1160,43.7,39.27466,-76.91306
Car1,1165,36,39.16885,-77.35527
Car2,1165,30.9,39.20754,-77.25999
Car3,1165,43.7,39.2733,-76.9149
Car1,1170,36,39.16807,-77.35344
Car2,1170,30.9,39.20731,-77.25822
Car3,1170,43.7,39.27195,-76.91673
Car1,1175,36,39.16729,-77.35161
Car2,1175,30.9,39.20708,-77.25645
Car3,1175,43.7,39.27059,-76.91857
Car1,1180,36,39.16651,-77.34978
Car2,1180,30.9,39.20686,-77.25469
Car3,1180,43.7,39.26923,-76.92041
Car1,1185,36,39.16573,-77.34795
Car2,1185,30.9,39.20662,-77.25292
Car3,1185,43.7,39.26788,-76.92225
Car1,1190,36,39.16494,-77.34612
Car2,1190,30.9,39.20639,-77.25116
Car3,1190,46.3,39.26649,-76.92417
Car1,1195,36,39.16416,-77.3443
Car2,1195,30.9,39.20617,-77.24939
Car3,1195,46.3,39.26514,-76.92622
Car1,1200,36,39.16338,-77.34247
Car2,1200,30.9,39.20594,-77.24762
Car3,1200,46.3,39.26386,-76.92834
Car1,1205,36,39.16259,-77.34064
Car2,1205,30.9,39.20571,-77.24586
Car3,1205,46.3,39.26266,-76.93054
Car1,1210,36,39.16181,-77.33881
Car2,1210,30.9,39.20547,-77.24409
Car3,1210,46.3,39.26154,-76.93281
Car1,1215,36,39.16103,-77.33698
Car2,1215,30.9,39.20524,-77.24232
Car3,1215,46.3,39.26051,-76.93514
Car1,1220,36,39.16024,-77.33516
Car2,1220,30.9,39.20501,-77.24055
Car3,1220,46.3,39.25955,-76.93753
Car1,1225,36,39.15946,-77.33333
Car2,1225,30.9,39.20478,-77.23879
Car3,1225,46.3,39.25869,-76.93998
Car1,1230,36,39.15868,-77.3315
Car2,1230,30.9,39.20456,-77.23702
Car3,1230,46.3,39.25791,-76.94247
Car1,1235,36,39.15789,-77.32967
Car2,1235,30.9,39.20432,-77.23526
Car3,1235,46.3,39.25727,-76.94503
Car1,1240,36,39.15711,-77.32785
Car2,1240,30.9,39.2041,-77.23349
Car3,1240,46.3,39.25662,-76.94759
Car1,1245,36,39.15633,-77.32602
Car2,1245,30.9,39.20387,-77.23172
Car3,1245,46.3,39.25598,-76.95014
Car1,1250,36,39.15554,-77.3242
Car2,1250,30.9,39.20363,-77.22996
Car3,1250,46.3,39.25533,-76.9527
Car1,1255,36,39.15476,-77.32236
Car2,1255,30.9,39.2034,-77.2282
Car3,1255,46.3,39.25468,-76.95525
Car1,1260,36,39.15398,-77.32054
Car2,1260,30.9,39.20317,-77.22643
Car3,1260,46.3,39.25404,-76.95781
Car1,1265,36,39.15319,-77.31871
Car2,1265,30.9,39.20294,-77.22466
Car3,1265,46.3,39.2534,-76.96037
Car1,1270,36,39.15241,-77.31688
Car2,1270,30.9,39.20271,-77.22289
Car3,1270,46.3,39.25275,-76.96292
Car1,1275,36,39.15163,-77.31506
Car2,1275,30.9,39.20248,-77.22112
Car3,1275,46.3,39.25211,-76.96548
Car1,1280,36,39.15084,-77.31322
Car2,1280,30.9,39.20225,-77.21936
Car3,1280,46.3,39.25146,-76.96803
Car1,1285,36,39.15006,-77.3114
Car2,1285,30.9,39.20202,-77.21759
Car3,1285,48.9,39.25082,-76.9706
Car1,1290,36,39.14928,-77.30958
Car2,1290,30.9,39.20179,-77.21583
Car3,1290,48.9,39.25024,-76.97334
Car1,1295,36,39.14849,-77.30775
Car2,1295,30.9,39.20156,-77.21406
Car3,1295,48.9,39.24972,-76.9761
Car1,1300,36,39.14771,-77.30592
Car2,1300,30.9,39.20133,-77.2123
Car3,1300,48.9,39.24918,-76.97885
Car1,1305,36,39.14693,-77.30409
Car2,1305,30.9,39.2011,-77.21053
Car3,1305,48.9,39.24866,-76.98161
Car1,1310,36,39.14614,-77.30226
Car2,1310,30.9,39.20087,-77.20876
Car3,1310,48.9,39.24813,-76.98436
Car1,1315,36,39.14536,-77.30044
Car2,1315,30.9,39.20064,-77.20699
Car3,1315,48.9,39.2476,-76.98711
Car1,1320,36,39.14458,-77.29861
Car2,1320,30.9,39.20041,-77.20523
Car3,1320,48.9,39.24707,-76.98987
Car1,1325,36,39.14379,-77.29678
Car2,1325,30.9,39.20018,-77.20346
Car3,1325,48.9,39.24654,-76.99262
Car1,1330,36,39.14301,-77.29496
Car2,1330,30.9,39.19995,-77.2017
Car3,1330,48.9,39.24601,-76.99538
Car1,1335,36,39.14222,-77.29313
Car2,1335,30.9,39.19972,-77.19993
Car3,1335,48.9,39.24548,-76.99813
Car1,1340,36,39.14145,-77.29131
Car2,1340,30.9,39.19949,-77.19817
Car3,1340,48.9,39.24495,-77.00089
Car1,1345,36,39.14066,-77.28947
Car2,1345,30.9,39.19926,-77.1964
Car3,1345,48.9,39.24443,-77.00364
Car1,1350,36,39.13987,-77.28765
Car2,1350,30.9,39.19902,-77.19463
Car3,1350,48.9,39.2439,-77.00639
Car1,1355,36,39.13909,-77.28582
Car2,1355,30.9,39.1988,-77.19286
Car3,1355,48.9,39.24337,-77.00915
Car1,1360,36,39.13831,-77.284
Car2,1360,30.9,39.19856,-77.1911
Car3,1360,48.9,39.24284,-77.0119
Car1,1365,36,39.13752,-77.28217
Car2,1365,30.9,39.19833,-77.18933
Car3,1365,48.9,39.24231,-77.01466
Car1,1370,36,39.13674,-77.28034
Car2,1370,30.9,39.1981,-77.18757
Car3,1370,48.9,39.24178,-77.01741
Car1,1375,36,39.13596,-77.27852
Car2,1375,30.9,39.19787,-77.1858
Car3,1375,48.9,39.24125,-77.02016
Car1,1380,36,39.13517,-77.27669
Car2,1380,30.9,39.19765,-77.18403
Car3,1380,48.9,39.24072,-77.02292
Car1,1385,35.6,39.13439,-77.27486
Car2,1385,30.9,39.19746,-77.18226
Car3,1385,48.9,39.24019,-77.02567
Car1,1390,33.9,39.13366,-77.27307
Car2,1390,30.9,39.19731,-77.18048
Car3,1390,48.9,39.23966,-77.02842
Car1,1395,32.4,39.13302,-77.27134
Car2,1395,30.9,39.1972,-77.1787
Car3,1395,48.9,39.23913,-77.03117
Car1,1400,31.1,39.13244,-77.26965
Car2,1400,30.9,39.19715,-77.1769
Car3,1400,48.9,39.23861,-77.03393
Car1,1405,29.9,39.13193,-77.26801
Car2,1405,30.9,39.19713,-77.17511
Car3,1405,48.9,39.23807,-77.03668
Car1,1410,28.9,39.13147,-77.26641
Car2,1410,30.9,39.19715,-77.17332
Car3,1410,47.8,39.23755,-77.03944
Car1,1415,27.9,39.13107,-77.26485
Car2,1415,30.9,39.19722,-77.17153
Car3,1415,43.2,39.23714,-77.04203
Car1,1420,27.1,39.1307,-77.26332
Car2,1420,30.9,39.19733,-77.16975
Car3,1420,41.2,39.23683,-77.04442
Car1,1425,26.4,39.13038,-77.26183
Car2,1425,30.9,39.19749,-77.16797
Car3,1425,41.2,39.23653,-77.04678
Car1,1430,25.7,39.1301,-77.26036
Car2,1430,30.9,39.19768,-77.16619
Car3,1430,41.2,39.23623,-77.04913
Car1,1435,25.7,39.12985,-77.2589
Car2,1435,30.9,39.19791,-77.16443
Car3,1435,41.2,39.23593,-77.05149
Car1,1440,25.7,39.12963,-77.25745
Car2,1440,30.9,39.1982,-77.16267
Car3,1440,41.2,39.23563,-77.05385
Car1,1445,25.7,39.12944,-77.25597
Car2,1445,30.9,39.19852,-77.16093
Car3,1445,41.2,39.23532,-77.05621
Car1,1450,25.7,39.12928,-77.25449
Car2,1450,30.9,39.19888,-77.1592
Car3,1450,41.2,39.23502,-77.05856
Car1,1455,25.7,39.12915,-77.25301
Car2,1455,30.9,39.19929,-77.15749
Car3,1455,41.2,39.23472,-77.06092
Car1,1460,25.7,39.12905,-77.25153
Car2,1460,30.9,39.19973,-77.15579
Car3,1460,41.2,39.23441,-77.06327
Car1,1465,25.7,39.12897,-77.25005
Car2,1465,30.9,39.20022,-77.15411
Car3,1465,41.2,39.23411,-77.06564
Car1,1470,25.7,39.12893,-77.24855
Car2,1470,30.9,39.20074,-77.15246
Car3,1470,41.2,39.23381,-77.06799
Car1,1475,25.7,39.12892,-77.24706
Car2,1475,30.9,39.20131,-77.15082
Car3,1475,41.2,39.23351,-77.07034
Car1,1480,25.7,39.12894,-77.24557
Car2,1480,30.9,39.20191,-77.14921
Car3,1480,41.2,39.2332,-77.0727
Car1,1485,25.7,39.12898,-77.24408
Car2,1485,30.9,39.20255,-77.14762
Car3,1485,41.2,39.2329,-77.07506
Car1,1490,25.7,39.12906,-77.24259
Car2,1490,30.9,39.20324,-77.14606
Car3,1490,41.2,39.2326,-77.07742
Car1,1495,25.7,39.12916,-77.24111
Car2,1495,30.9,39.20395,-77.14452
Car3,1495,41.2,39.2323,-77.07977
Car1,1500,25.7,39.1293,-77.23963
Car2,1500,30.9,39.20471,-77.14302
Car3,1500,41.2,39.23199,-77.08213
Car1,1505,25.7,39.12946,-77.23815
Car2,1505,30.9,39.20553,-77.14158
Car3,1505,41.2,39.23169,-77.08449
Car1,1510,25.7,39.12966,-77.23669
Car2,1510,30.9,39.20634,-77.14013
Car3,1510,41.2,39.23139,-77.08685
Car1,1515,25.7,39.12988,-77.23522
Car2,1515,30.9,39.20716,-77.13868
Car3,1515,41.2,39.23108,-77.0892
Car1,1520,25.7,39.13013,-77.23376
Car2,1520,30.9,39.20798,-77.13724
Car3,1520,41.2,39.23078,-77.09156
Car1,1525,25.7,39.13041,-77.23232
Car2,1525,30.9,39.20879,-77.13579
Car3,1525,41.2,39.23048,-77.09392
Car1,1530,25.7,39.13072,-77.23089
Car2,1530,30.9,39.20961,-77.13434
Car3,1530,41.2,39.23017,-77.09628
Car1,1535,25.7,39.13106,-77.22946
Car2,1535,30.9,39.21043,-77.13289
Car3,1535,41.2,39.22987,-77.09863
Car1,1540,25.7,39.13143,-77.22804
Car2,1540,30.9,39.21125,-77.13145
Car1,1545,25.7,39.13182,-77.22665
Car2,1545,30.9,39.21207,-77.13
Car1,1550,25.7,39.13224,-77.22526
Car2,1550,30.9,39.21288,-77.12855
Car1,1555,25.7,39.1327,-77.22388
Car2,1555,30.9,39.2137,-77.1271
Car1,1560,25.7,39.13317,-77.22253
Car2,1560,30.9,39.21452,-77.12566
Car1,1565,25.7,39.13367,-77.22118
Car2,1565,30.9,39.21534,-77.12421
Car1,1570,25.7,39.13421,-77.21986
Car2,1570,30.9,39.21616,-77.12276
Car1,1575,25.7,39.13477,-77.21855
Car2,1575,30.9,39.21697,-77.12131
Car1,1580,25.7,39.13535,-77.21726
Car2,1580,30.9,39.21779,-77.11986
Car1,1585,25.7,39.13596,-77.216
Car2,1585,30.9,39.21861,-77.11842
Car1,1590,25.7,39.13659,-77.21475
Car2,1590,30.9,39.21943,-77.11697
Car1,1595,25.7,39.13725,-77.21352
Car2,1595,30.9,39.22024,-77.11552
Car1,1600,25.7,39.13794,-77.21232
Car2,1600,30.9,39.22106,-77.11407
Car1,1605,25.7,39.13864,-77.21114
Car2,1605,30.9,39.22187,-77.11262
Car1,1610,25.7,39.13937,-77.20998
Car2,1610,30.9,39.22269,-77.11117
Car1,1615,25.7,39.14012,-77.20885
Car2,1615,30.9,39.22351,-77.10973
Car1,1620,25.7,39.1409,-77.20774
Car2,1620,30.9,39.22433,-77.10828
Car1,1625,25.7,39.1417,-77.20667
Car2,1625,30.9,39.22514,-77.10683
Car1,1630,25.7,39.14254,-77.20564
Car2,1630,30.9,39.22596,-77.10538
Car1,1635,25.7,39.14337,-77.20462
Car2,1635,30.9,39.22678,-77.10393
Car1,1640,25.7,39.14421,-77.20359
Car2,1640,30.9,39.2276,-77.10248
Car1,1645,25.7,39.14505,-77.20256
Car2,1645,30.9,39.22841,-77.10104
Car1,1650,25.7,39.14589,-77.20154
Car2,1650,30.9,39.22923,-77.09959
Car1,1655,25.7,39.14673,-77.20051
Car1,1660,25.7,39.14757,-77.19948
Car1,1665,25.7,39.1484,-77.19846
Car1,1670,25.7,39.14924,-77.19743
Car1,1675,25.7,39.15008,-77.1964
Car1,1680,25.7,39.15092,-77.19537
Car1,1685,25.7,39.15176,-77.19434
Car1,1690,25.7,39.1526,-77.19331
Car1,1695,25.7,39.15343,-77.19229
Car1,1700,25.7,39.15427,-77.19126
Car1,1705,25.7,39.15511,-77.19023
Car1,1710,25.7,39.15595,-77.18921
Car1,1715,25.7,39.15679,-77.18818
Car1,1720,25.7,39.15763,-77.18715
Car1,1725,25.7,39.15846,-77.18613
Car1,1730,25.7,39.1593,-77.1851
Car1,1735,25.7,39.16014,-77.18407
Car1,1740,25.7,39.16098,-77.18304
Car1,1745,25.7,39.16182,-77.18201
Car1,1750,25.7,39.16265,-77.18098
Car1,1755,25.7,39.16349,-77.17995
Car1,1760,25.7,39.16433,-77.17892
Car1,1765,25.7,39.16516,-77.1779
Car1,1770,25.7,39.16601,-77.17687
Car1,1775,25.7,39.16684,-77.17584
Car1,1780,25.7,39.16768,-77.17482
Car1,1785,25.7,39.16852,-77.17379
Car1,1790,25.7,39.16936,-77.17276
Car1,1795,25.7,39.1702,-77.17173
Car1,1800,25.7,39.17103,-77.17071
Car1,1805,25.7,39.17187,-77.16968
Car1,1810,25.7,39.17271,-77.16865
Car1,1815,25.7,39.17355,-77.16762
Car1,1820,25.7,39.17439,-77.16659
Car1,1825,25.7,39.17522,-77.16557
Car1,1830,25.7,39.17606,-77.16454
Car1,1835,25.7,39.1769,-77.16351
Car1,1840,25.7,39.17773,-77.16248
Car1,1845,25.7,39.17857,-77.16145
Car1,1850,25.7,39.17942,-77.16042
Car1,1855,25.7,39.18025,-77.15939
Car1,1860,25.7,39.18109,-77.15836
Car1,1865,25.7,39.18193,-77.15734
Car1,1870,25.7,39.18276,-77.15631
Car1,1875,25.7,39.18361,-77.15528
Car1,1880,25.7,39.18444,-77.15425
Car1,1885,25.7,39.18528,-77.15322
Car1,1890,25.7,39.18612,-77.15219
Car1,1895,25.7,39.18695,-77.15117
Car1,1900,25.7,39.18779,-77.15014
Car1,1905,25.7,39.18863,-77.14911
Car1,1910,25.7,39.18946,-77.14808
Car1,1915,25.7,39.1903,-77.14705
Car1,1920,25.7,39.19114,-77.14603
Car1,1925,25.7,39.19198,-77.145
Car1,1930,25.7,39.19282,-77.14397
Car1,1935,25.7,39.19366,-77.14294
Car1,1940,25.7,39.19449,-77.14191
Car1,1945,25.7,39.19533,-77.14088
Car1,1950,25.7,39.19617,-77.13985
Car1,1955,25.7,39.197,-77.13882
Car1,1960,25.7,39.19785,-77.13779
Car1,1965,25.7,39.19868,-77.13676
Car1,1970,25.7,39.19952,-77.13573
Car1,1975,25.7,39.20036,-77.1347
Car1,1980,25.7,39.20119,-77.13367
Car1,1985,25.7,39.20203,-77.13265
Car1,1990,25.7,39.20287,-77.13162
Car1,1995,25.7,39.2037,-77.13059
Car1,2000,25.7,39.20455,-77.12956
Car1,2005,25.7,39.20538,-77.12853
Car1,2010,25.7,39.20622,-77.1275
Car1,2015,25.7,39.20706,-77.12647
Car1,2020,25.7,39.20789,-77.12544
Car1,2025,25.7,39.20873,-77.12441
Car1,2030,25.7,39.20957,-77.12338
Car1,2035,25.7,39.21041,-77.12236
Car1,2040,25.7,39.21125,-77.12133
Car1,2045,25.7,39.21208,-77.1203
Car1,2050,25.7,39.21292,-77.11927
Car1,2055,25.7,39.21376,-77.11824
Car1,2060,25.7,39.2146,-77.11721
Car1,2065,25.7,39.21543,-77.11618
Car1,2070,25.7,39.21627,-77.11515
Car1,2075,25.7,39.21711,-77.11412
Car1,2080,25.7,39.21795,-77.1131
Car1,2085,25.7,39.21878,-77.11206
Car1,2090,25.7,39.21962,-77.11104
Car1,2095,25.7,39.22046,-77.11001
Car1,2100,25.7,39.22129,-77.10898
Car1,2105,25.7,39.22213,-77.10795
Car1,2110,25.7,39.22297,-77.10692
Car1,2115,25.7,39.22381,-77.10589
Car1,2120,25.7,39.22464,-77.10486
Car1,2125,25.7,39.22548,-77.10383
Car1,2130,25.7,39.22632,-77.1028
Car1,2135,25.7,39.22716,-77.10177
Car1,2140,25.7,39.22799,-77.10074
Car1,2145,25.7,39.22883,-77.09971
Car1,2150,25.7,39.22967,-77.09868
